Organization Name	Organization Name URL	Full Description	Industries	Website	Headquarters Location	Description	CB Rank (Company)	SEMrush - Monthly Visits	SEMrush - Average Visits (6 months)	SEMrush - Monthly Visits Growth	SEMrush - Visit Duration Growth	SEMrush - Visit Duration	SEMrush - Page Views / Visit	SEMrush - Page Views / Visit Growth	SEMrush - Bounce Rate	SEMrush - Bounce Rate Growth	SEMrush - Global Traffic Rank	SEMrush - Monthly Rank Change (#)	SEMrush - Monthly Rank Growth	Headquarters Regions	Operating Status	Founded Date	Founded Date Precision	Number of Founders	Number of Employees	Founders	Apptopia - Number of Apps	Apptopia - Downloads Last 30 Days	Aberdeen - IT Spend	Aberdeen - IT Spend Currency	Aberdeen - IT Spend Currency (in USD)	PP URL
Spacetel UK LIMITED	https://www.crunchbase.com/organization/spacetel-uk-limited	Spacetel provides a range of services, including co-location in its own data centers, virtual servers, and private clouds and application environments. They assist in auditing and designing IT architectures to ensure get out of it - both in terms of requirements and budget.	Business Information Systems, Cloud Infrastructure, Customer Service, Software	http://www.spacetel.co.uk	Bowling Green, Missouri, United States	Spacetel is a service provider offering end-to-end solutions for IT infrastructure and business applications.	1,371,861													Midwestern US	Active	1995-01-01	year		51-100							
MiSensors	https://www.crunchbase.com/organization/misensors	MiSensors is a platform for managing sensors in the cloud with web and mobile applications. The software can be used by any company that is looking to deploy its economical 8-in-1 MiTag sensor. MiSensors makes it easier for sensors to be monitored remotely.	Cloud Infrastructure, Consumer Electronics, Electronics, Information Technology, Software	https://www.misensors.com/	San Diego, California, United States	MiSensors is a cloud-based sensor management platform with web and mobile apps.	1,373,093													Greater San Diego Area, West Coast, Western US	Active											https://www.misensors.com/privacy-policy/
EnTech IT Solutions	https://www.crunchbase.com/organization/entech-it-solutions		Cloud Infrastructure, Consulting, IT Management, Telecommunications, VoIP	https://www.entechitsolutions.com/	Littleton, Colorado, United States	EnTech IT Solutions is an IT services company with highly qualified technicians who specialise in IT infrastructure lifecycle management.	1,374,941													Greater Denver Area, Western US	Active	2010-01-01	year		11-50							https://www.entechitsolutions.com/privacy-policy/
GSA Labs	https://www.crunchbase.com/organization/gsa-labs	GSA Labs is a Connecticut Certified Minority and Small Business Enterprise. We currently work with clients in close to eighteen states to secure sensitive data regardless of which platform is used to access it and which backend-as-a-service system it is stored in. Our goal is to ensure access to data and information is only given to the right individuals. GSA Labs implementations focus on Identity Governance and Administration to helping our clients manage digital identity and access rights across their entire corporate networks. 	Cloud Computing, Cloud Infrastructure, Compliance, Cyber Security, Network Security, Penetration Testing, Software	http://www.gsalabs.net	Darien, Connecticut, United States	GSA Labs is an IT Security Services firm with a focus on Securing Identities within the Digital Space.	1,378,185													East Coast, New England, Northeastern US	Active	2011-01-01	year	1.0	11-50	Lawrence Brown						
FullMeta Corporation	https://www.crunchbase.com/organization/metapipe		Animation, Cloud Computing, Cloud Data Services, Cloud Infrastructure, Cloud Management, Cloud Storage, Film Production, Video Streaming, Virtual Desktop	http://metapipe.com/	Provo, Utah, United States	Cloud-based pipeline solutions for the VFX and Animation industry	1,383,957													Western US	Active	2016-06-08	day		1-10							
SleepyEngineers	https://www.crunchbase.com/organization/sleepyengineers		Ad Server, Cloud Infrastructure, Internet, Web Hosting	https://www.sleepyengineers.com	Scurry, Texas, United States	SleepyEngineers is a web hosting platform that offers media hosting, audio and video support, cloud, and Windows virtual servers.	1,392,028													Dallas/Fort Worth Metroplex, Southern US	Active	2002-01-01	year									https://www.sleepyengineers.com/policies/privacy.html
GMO Cloud	https://www.crunchbase.com/organization/gmo-cloud-america		Cloud Infrastructure, IT Infrastructure, Network Hardware, Web Hosting	http://us.gmocloud.com/	Newport Beach, California, United States	GMO Cloud is an IAAS solutions firm that provides network & cloud management, server hosting, system management and datacenter solutions.	1,393,602													Greater Los Angeles Area, West Coast, Western US	Active	1997-01-01	year		11-50							https://us.gmocloud.com/legal/privacy-policy.html
Parzee Inc	https://www.crunchbase.com/organization/parzee-inc		Cloud Data Services, Cloud Infrastructure, Enterprise Software, Information Technology, SaaS, Web Browsers	http://www.parzee.com	Cupertino, California, United States	Parzee Cloud Services. Parzee allows IT administrators to install enterprise applications from a simple web browser	1,401,551													San Francisco Bay Area, Silicon Valley, West Coast	Active	2015-06-15	day		1-10							
NocserV	https://www.crunchbase.com/organization/nocserv	Nocserv provides Information Technology (IT) Solutions to small businesses. Our core offerings include managed IT support services, cyber security services, and cloud services.	Cloud Data Services, Cloud Infrastructure, Consulting, Cyber Security, Information Technology	http://www.nocserv.com	Houston, Texas, United States	IT Department in the Cloud - IT services to small and medium buisness	1,406,429													Greater Houston Area, Southern US	Active	2016-08-31	day	1.0	1-10	Brian Gendron						
North Sixty-One	https://www.crunchbase.com/organization/north-sixty-one		Cloud Infrastructure, Data Integration, Software	https://www.northsixtyone.com/	Finland, Minnesota, United States	North Sixty-One is an expert in collecting and processing data, cloud infrastructure, mobile platforms, applications and internet services.	1,413,555													Great Lakes, Midwestern US	Active	2011-01-01	year		1-10							
uAccept	https://www.crunchbase.com/organization/uaccept	UAccept is an affordable cloud connected point of sale system for businesses. It includes a hardware connected to a web-based software. It provides store location management tools, customer loyalty programs, and encrypted magnetic card readers. UAccept is headquartered in Carlsbad, California.	Cloud Infrastructure, Payments, Point of Sale, Software, Transaction Processing	https://uaccept.com/	Carlsbad, California, United States	UAccept is an affordable cloud connected point of sale system for businesses.	1,417,128													Greater San Diego Area, West Coast, Western US	Active											https://uaccept.com/privacy-policy/
Progressive Computer Research	https://www.crunchbase.com/organization/progressive-computer-research		Cloud Infrastructure, Cloud Management, Information Technology, IT Management, Network Security	http://procompresearch.com	Lake Worth, Florida, United States	Information Technology Infrastructure Consulting	1,420,501													Greater Miami Area, East Coast, Southern US	Active	1997-01-01	year	2.0	1-10	Joseph DiBlasi, Ryan N. Bennett						
MultiMixIT	https://www.crunchbase.com/organization/multimixit		Analytics, Cloud Infrastructure, Cyber Security, Information Technology, Project Management	https://multimixit.com	New York, New York, United States	MultiMixIT offers cyber security, project management, cloud infrastructure, data analytics, and IT services.	1,421,375													Greater New York Area, East Coast, Northeastern US	Active			1.0	1-10	Michael Maffattone						
Cloudcast	https://www.crunchbase.com/organization/cloudcast-5d95		Apps, Cloud Computing, Cloud Infrastructure	https://www.cloudcastcomputing.com/	Canonsburg, Pennsylvania, United States	Cloudcast offers cloud computing service for hosting apps and data in-house on district-owned servers.	1,422,806													Great Lakes, Northeastern US	Active				11-50							
Xclutel Communications	https://www.crunchbase.com/organization/xclutel-communications		Cloud Infrastructure, Management Consulting, Professional Networking, Professional Services, Telecommunications	https://www.xclutel.com/	Rolling Meadows, Illinois, United States	Xclutel Communications specializes in cloud PBX, managed services, phone systems, business continuity, and structured cabling.	1,424,731													Greater Chicago Area, Great Lakes, Midwestern US	Active	2006-01-01	year		11-50				270053.0	USD	270053.0	https://www.xclutel.com/privacy/
Koviah	https://www.crunchbase.com/organization/koviah	Koviah managed services are designed with you in mind – no cookie cutter solutions here. They can help with help desk, telephony, infrastructure, security, strategy, roadmapping, projects, & virtual CIO.  You need technology hardware solutions like monitors, laptops, etc.  that you can count on.  With over 100k products in stock we can get you what you need quick!	Cloud Infrastructure, Information and Communications Technology (ICT), Infrastructure, IT Infrastructure, Professional Services	https://www.koviah.com/	Charlotte, North Carolina, United States	Koviah provides work place solutions.	1,427,965													East Coast, Southern US	Active											
