Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Number of Employees,Full Description,Website,Industries,Headquarters Location,Description,CB Rank (Company),SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Monthly Visits Growth,SEMrush - Visit Duration Growth,SEMrush - Visit Duration,SEMrush - Page Views / Visit,SEMrush - Page Views / Visit Growth,SEMrush - Bounce Rate,SEMrush - Bounce Rate Growth,SEMrush - Global Traffic Rank,SEMrush - Monthly Rank Change (#),SEMrush - Monthly Rank Growth
Valfluid,https://www.crunchbase.com/organization/valfluid,1993-01-01,year,11-50,,https://www.valfluid.com/,"Hardware, Industrial Automation, Manufacturing, Productivity Tools, Supply Chain Management","Bergamo, Lombardia, Italy","Valfluid designs and installs rubber hoses, shaped rigid tubes, steel hoses, pneumatics, and hydraulic systems for industrial automation.","1,781,553",,,,,,,,,,,,
Gepszerszam,https://www.crunchbase.com/organization/gepszerszam,1993-01-01,year,1-10,,https://gepszerszam.hu/,"E-Commerce, Electronics, Productivity Tools","Dunaújváros, Fejer, Hungary","Gepszerszam is an internet shop that offers welding machines, plasma cutters, shields, explosion powered machines, drums, and accessories.","1,785,732","25,936","14,962.5",508.83%,-96.65%,18,2.25,-77.5%,25%,-45.77%,"1,311,808","-2,337,213",-64.05%
B&S Metallbe- und -verarbeitungs,https://www.crunchbase.com/organization/b-s-metallbe-und-verarbeitungs,1993-01-01,year,51-100,,https://www.b-szwoenitz.de/,"Industrial Automation, Machinery Manufacturing, Manufacturing, Product Design, Productivity Tools","Zwönitz, Sachsen, Germany","B&S Metallbe- und -verarbeitungs is a manufacturing company that produces turning, milling, gearing, pushing, and CNC precision products.","1,784,626",,,,,,,,,,,,
Huvyk,https://www.crunchbase.com/organization/huvyk,1993-01-01,day,1-10,,http://www.huvyk.sk,"Building Material, Online Portals, Productivity Tools","Nová Dubnica, Trencin, Slovakia (Slovak Republic)","Huvyk deals with the production and sales of steel ropes, permanent magnets, hydraulic jacks, equipment and accessories.","1,861,142",52,,-93.34%,"4,325%",177,3,50%,0%,,"10,620,048","3,277,981",44.65%
Deltmar,https://www.crunchbase.com/organization/deltmar,1993-01-01,year,1-10,,https://www.deltmar.ee/,"Apps, Productivity Tools, Software","Tallinn, Harjumaa, Estonia","Deltmar is an IT company that offers software development, productivity tools and apps for public and school libraries.","2,014,940",,,,,,,,,,,,
Vinoform,https://www.crunchbase.com/organization/vinoform,1993-01-01,day,1-10,,http://www.vinoform.com,"Agriculture, Farming, Productivity Tools","Basel, Basel-Stadt, Switzerland","Vinoform is specialized in making productivity tools such as plant sticks, and posts that support the cultivation of the vineyard.","2,105,762",,,,,,,,,,,,
RF Technik,https://www.crunchbase.com/organization/rf-technik,1993-01-01,day,1-10,,http://www.rf-technik.cz,"Productivity Tools, Retail, Wholesale","Prague, Hlavni mesto Praha, Czech Republic",RF Technik is a wholesaler and retailer of the PROXXON tools.,"2,212,633",,,,,,,,,,,,
Delta Tools,https://www.crunchbase.com/organization/delta-tools,1993-01-11,day,,,http://deltatools.nl,"Advice, Industrial, Productivity Tools","Stellendam, Zuid-Holland, The Netherlands","Delta Tools specializes in advising and supplying tools such as VHM, PKD, and CVD for metal industries.","1,901,291",,,,,,,,,,,,
Towa Sokki,https://www.crunchbase.com/organization/towa-sokki,1993-03-10,day,,,http://www.towasokki.in,"Manufacturing, Productivity Tools, Property Management, Real Estate","Vadodara, Gujarat, India","Towa Sokki manufactures survey instruments such as automatic levels, theodolites, leveling staves and tripods.","1,905,409",,,,,,,,,,,,
VITAM,https://www.crunchbase.com/organization/vitam-9c3f,1993-06-07,day,1-10,,http://www.vitam.cz,"Machinery Manufacturing, Manufacturing, Productivity Tools","Zlonice, Stredocesky kraj, Czech Republic","VITAM engages in the production of protective equipment, metal production and locksmithing.","1,318,665",,,,,,,,,,,,
Termaloc,https://www.crunchbase.com/organization/termaloc,1993-11-03,day,11-50,,https://www.termaloc.fr,"Construction, Direct Sales, Machinery Manufacturing, Productivity Tools, Rental","Colombelles, Basse-Normandie, France","Termaloc provides professional equipment, carrycot, forklift, construction, water pump, excavator, and earthmoving machinery for rent.","2,099,925",,,,,,,,,,,,
ConceptDraw,https://www.crunchbase.com/organization/conceptdraw,1993-11-18,day,11-50,"CS Odessa is the developer of ConceptDraw products a world-class, visual productivity solutions that have transformed the way many companies approach their daily work.  Since 1993, CS Odessa has been applying a passion for innovation to the world of business software and has become a Software 500 company in the process. CS Odessa is the developer of ConceptDraw Office which is a comprehensive suite of fully featured business productivity tools, including: - ConceptDraw PRO for business diagramming, - ConceptDraw MINDMAP for mind mapping,  - ConceptDraw PROJECT for project management, - ConceptDraw PLAN online collaboration service.   These tools utilize CS Odessa sophisticated INGYRE technology to deliver some incredibly powerful integration features that are unique to ConceptDraw.",http://www.conceptdraw.com,"Business Intelligence, Collaboration, Productivity Tools, Project Management, Social Media, Software","San Jose, California, United States",ConceptDraw is a software developer involved in a variety of projects designed to increase effectiveness in the workplace.,"826,839","430,557","398,264.33",14.29%,-27.3%,269,1.76,0.32%,73.56%,13.05%,"202,017","-11,816",-5.53%
ProCare Pain Solutions,https://www.crunchbase.com/organization/procare-pain-solutions,1994-01-01,year,1001-5000,,https://procarepain.com/,"Health Care, Management Consulting, Productivity Tools","Grand Rapids, Michigan, United States","ProCare Pain Solutions offers systems, tools and strategies to healthcare institutions for increased productivity.","342,575",,,,,,,,,,,,
cbb software,https://www.crunchbase.com/organization/cbb-software,1994-01-01,year,11-50,"cbb software is a developer of software designed for energy management, test engineering, and automotive services. It offers services in the areas of automotive engineering, testing technology, and the energy sector.",https://www.cbb.de,"Marketing Automation, Productivity Tools, Software, Software Engineering","Lübeck, Schleswig-Holstein, Germany","cbb software provider for IoT digitization, automation and harmonization with products and technologies.","384,485",612,,,,0,1,,100%,,"7,922,985",,
Wagner,https://www.crunchbase.com/organization/wagner-27d2,1994-01-01,year,101-250,,https://www.wagnersystemsinc.com,"Industrial, Industrial Manufacturing, Manufacturing, Productivity Tools","Plymouth, Minnesota, United States","Wagner manufactures and markets surface finishing products and application equipment for paints, coating, adhesives, and sealant materials.","417,463",,,,,,,,,,,,
CPR Technologies,https://www.crunchbase.com/organization/cpr-technologies,1994-01-01,year,1-10,,http://cpr-tech.com/,"Data Mining, Electronic Health Record (EHR), Health Care, Productivity Tools","Los Angeles, California, United States","CPR Technologies specializes in data mining, decision support tools & integration engine technology for the hospital & healthcare industry.","434,378",,,,,,,,,,,,
CT Solutions,https://www.crunchbase.com/organization/ct-solutions,1994-01-01,year,11-50,"CT Solutions provides solutions for call centres that enable superior customer service and enhanced efficiency. The company has a comprehensive suite of productivity tools which help contact centres improve customer experience, enhance agent performance, and manage operational costs more effectively. Its modular design allows users to meet their current business needs, and to meet their future needs by enabling additional options. The company's products range from robust inbound tools, to sophisticated dialling and Callback and Virtual Queuing technology to enhance contact centre platform and reduce operational costs, while giving superior customer service. CT Solutions was founded on 1994 and is based in Dublin, Ireland.",http://ct-solutions.com,"CRM, Customer Service, Productivity Tools, Software, Telecommunications","Dublin, Dublin, Ireland",CT Solutions provides solutions for call centres that enable superior customer service and enhanced efficiency.,"479,661",,,,,,,,,,,,
CH Technologies,https://www.crunchbase.com/organization/ch-technologies,1994-01-01,year,11-50,,https://chtechusa.com/,"Manufacturing, Productivity Tools, Test and Measurement","Westwood, Massachusetts, United States",CH Technologies is a manufacturing company that supplies testing equipment for the advancement of inhalation toxicology research.,"515,339","3,744",,,,7,1.67,,33.33%,,"3,858,826",,
Optiform,https://www.crunchbase.com/organization/optiform,1994-01-01,year,11-50,,https://www.optiform.com,"Data Mining, Document Management, Information Technology, Productivity Tools, Software","Indianapolis, Indiana, United States",Optiform delivers forms processing solutions that enhances business productivity by automating forms and document-based business processes.,"568,754",,,,,,,,,,,,
DOP Gestion,https://www.crunchbase.com/organization/dop-gestion,1994-01-01,year,,,https://www.dop-gestion.ch/,"Enterprise Resource Planning (ERP), Management Consulting, Productivity Tools, Software","Saint-blaise, Neuchatel, Switzerland","DOP Gestion is a management consulting firm that offers ERP, financial analysis, productivity tools and training services.","791,253",276,,,,50,2.5,,50%,,"9,234,373",,
Vynckier Tools,https://www.crunchbase.com/organization/vynckier-tools,1994-01-01,year,11-50,,https://www.vynckier.biz,"Industrial, Productivity Tools, Wholesale","Moeskroen, Hainaut, Belgium","Vynckier Tools is the online wholesaler and retailer of machinery, automotive, workshop, construction site professional tool and equipment.","903,513","4,883","4,400.5",22.32%,19.86%,169,5.37,187.21%,37.44%,-53.24%,"3,477,878","-277,301",-7.38%
Jan Arps’ Traders’ Toolbox,https://www.crunchbase.com/organization/jan-arps-traders-toolbox,1994-01-01,year,51-100,,https://janarps.com,"Productivity Tools, Retail Technology, Software, Trading Platform","Lopez Island, Washington, United States",Jan Arps’ Traders’ Toolbox provides technical analysis software and trading analysis tools.,"945,558",627,,,,"1,837",20,,0%,,"7,873,503",,
The Robson Company,https://www.crunchbase.com/organization/the-robson-company,1994-01-01,year,1-10,,https://robsonco.com,"Manufacturing, Plastics and Rubber Manufacturing, Productivity Tools","Vinemont, Alabama, United States","The Robson Company is a full-service plastic injection molding, thumbnails, motorcycle accessories, and device manufacturer.","1,302,326","1,638",,,,54,2,,0%,,"5,736,008",,
MasterTherm Suisse,https://www.crunchbase.com/organization/mastertherm-suisse,1994-01-01,day,1-10,,http://mastertherm.ch,"Electronics, Manufacturing, Productivity Tools","Giswil, Obwalden, Switzerland",MasterTherm is a production company that develops heat pumps.,"1,319,974",,,,,,,,,,,,
Tsm Machinery & Equipment Sales,https://www.crunchbase.com/organization/tsm-machinery-equipment-sales,1994-01-01,year,1-10,,https://www.tsmmachine.com/,"Direct Sales, Machinery Manufacturing, Manufacturing, Productivity Tools","Phoenix, Arizona, United States","TSM is a machinery & equipment sales company that deals with massive machines such as newland, lucas, waterjet, leadwell, tongtai and cosen.","1,393,456",,,,,,,,,,,,
Firesub,https://www.crunchbase.com/organization/firesub,1994-01-01,year,501-1000,Firesub is a mobile and web collaboration tool that helps teams and organizations perform recurrent tasks. They help to minimize the burden of regular tasks in the company.,https://firesub.com,"Developer Tools, Franchise, Productivity Tools, Restaurants, Software, Web Development","Jacksonville, Florida, United States",Firesub provides task management tools for the companies.,"1,433,630",,,,,,,,,,,,
Safir Web,https://www.crunchbase.com/organization/safir-web,1994-01-01,day,1-10,Safir Web is an industry-specific web-based software solution for training offices. Technology and industry expertise have been combined to create a product that has taken the market by storm. They web-based system developed primarily for the administration of parts of the apprenticeship scheme that are administered by training offices.,http://www.safirweb.no/,"Consulting, Productivity Tools, Software, Training","Jaren, Oppland, Norway",Safir Web develops administrative tools and services designed for training offices.,"1,562,431",,,,,,,,,,,,
